Data,Polaridade,Subjetividade,qtde
20150303,1.0,5.066666666666666,4
20150305,0.4,13.1,10
20150306,3.272727272727273,20.409090909090907,14
20150307,0.0,2.0,2
20150308,0.3571428571428572,2.571428571428571,2
20150309,0.0,6.0,6
20150310,1.7,4.0,2
20150311,2.0,13.333333333333334,10
20150312,1.7047619047619047,37.5547619047619,30
20150313,0.48333333333333345,19.05,14
20150316,2.6000000000000005,17.766666666666666,14
20150317,0.2857142857142856,9.035714285714285,6
20150318,2.375,10.6,8
20150319,1.6666666666666665,6.666666666666668,4
20150320,2.75,8.2,6
20150321,0.8,3.0,2
20150322,2.0,4.0,2
20150323,1.5242424242424242,11.236363636363636,8
20150324,-0.09999999999999998,8.05,6
20150325,3.5,18.2,12
20150326,1.0,6.666666666666666,4
20150327,0.0,6.0,6
20150330,1.7642857142857142,11.742857142857144,8
20150331,-0.1272727272727272,13.554545454545455,12
20150401,0.0,18.138888888888886,14
20150402,3.323809523809524,10.568253968253968,8
20150403,0.0,4.0,4
20150405,0.9,3.1,2
20150406,1.8,7.3,6
20150407,1.2,5.6,4
20150408,0.08333333333333334,4.666666666666666,4
20150409,0.875,13.251923076923077,10
20150410,0.3363636363636364,4.654545454545454,4
20150413,2.75,10.375,6
20150414,0.2,6.3999999999999995,4
20150415,0.0,4.0,4
20150416,2.95,12.350000000000001,8
20150417,1.2142857142857144,7.642857142857142,6
20150420,0.5,4.5,4
20150421,1.3166666666666667,5.4,4
20150422,1.4166666666666667,14.066666666666666,10
20150423,1.85,6.0,4
20150424,1.5454545454545459,14.951515151515153,10
20150427,2.6,7.6,4
20150428,1.0,7.0,6
20150429,0.8,7.0,4
20150430,1.7000000000000002,13.25,10
20150501,-0.10000000000000003,4.6,4
20150504,0.2363636363636364,12.754545454545456,10
20150505,0.5,4.666666666666666,4
20150506,0.0,4.0,4
20150507,1.2,5.5,4
20150508,0.6,6.4,6
20150510,0.7678571428571428,3.3714285714285714,2
20150511,1.9333333333333336,8.266666666666666,6
20150512,0.5714285714285714,5.071428571428571,4
20150513,0.7,10.0,6
20150514,1.05,5.1,4
20150515,0.6,4.4,4
20150518,2.7,10.0,8
20150519,0.5,3.2592592592592595,2
20150520,2.8,11.866666666666665,8
20150521,2.7666666666666666,13.233333333333333,10
20150522,3.036363636363636,11.921212121212122,8
20150525,2.75,16.45,12
20150526,3.2,11.2,8
20150527,1.0,5.0,4
20150528,0.8,7.6,6
20150529,1.3,10.25,8
20150601,3.7,13.2,8
20150602,0.0,2.0,2
20150603,-0.09999999999999998,5.3,4
20150604,0.9000000000000001,6.300000000000001,4
20150605,1.6285714285714286,6.7857142857142865,4
20150608,0.7333333333333334,5.4,4
20150609,0.022727272727272818,7.609090909090909,6
20150610,2.8,5.4,4
20150611,0.8500000000000001,7.233333333333333,6
20150612,0.5238095238095238,5.423809523809524,4
20150615,-0.8,5.2,4
20150616,1.5,5.666666666666666,4
20150617,0.16,5.54,4
20150618,1.7000000000000002,9.083333333333334,6
20150619,3.0,16.0,12
